Name,Log2FC_PrimCom
Glyceraldehyde 3-Phosphate,0.09876455308204227
4-(Dimethylamino)pyridine,0.05154601102932596
Neopterin,-0.0945364896784268
Methylimidazoleacetic acid,-0.11770148951437923
Lenticin,-0.1033004081085805
Carnosine,-0.10185447000125356
Citroflex 2,0.19858549744724008
Maleamate,0.09239224702415698
Cytidine,0.3946471816228712
dTDP-alpha-D-glucose,0.15259299546839092
"2,6-Dimethylpyrazine",-0.1861349109244493
S-Adenosylmethionine,0.15910212569253313
Homostachydrine,-0.38332132707600863
Phenylalanine,0.06152881265337641
N-Carboxyethyl-gamma-aminobutyric acid,0.36081209197209524
Methionine,-0.011530541393624095
Valyl-Serine,0.047110411938613386
1-Vinylimidazole,-0.23690158346077364
2-Acetamido-N-β-aspartyl-2-deoxyhexopyranosylamine,-0.09831819253022608
Valylphenylalanine,-0.18300190865769042
Thymidine-Monophosphate (dTMP),0.10055255177124298
Prolylleucine,-0.10927593819939778
Alanine,0.09990315577834095
Alanylvaline,-0.19845962802347794
Uridine Diphosphate (UDP),0.3179303098429283
N(6)-Methyllysine,-0.3578783213935484
Leucyl-Serine,-0.3533791348498983
2-(4-aminotetrahydro-2H-pyran-4-yl)acetic acid,0.07746216841826148
Aspartame,-0.10076599654910391
Amino-Sugars-C6,-0.5186269151982257
"1,5-Naphthalenediamine",-0.04169042473680838
Glutathione oxidized,0.17699389403454402
Mandelate,-0.02788532115840042
δ-Valerolactam,-0.10279483341713695
Argininosuccinic acid,0.08927757280855608
Tri(butoxyethyl) phosphate,0.27068144847026604
Leucylalanine,-0.3224907342275287
4-Indolecarbaldehyde,0.1463507947562084
N-Acetylneuraminate,-0.25003930944954483
Propionyl-L-carnitine,-0.014891599307843468
"6-(methylamino)hexane-1,2,3,4,5-pentaol",-0.01664284853099787
Alanyl-Glutamine,-0.2504591414018739
1-Methylhistamine,-0.21819269437329836
Pantothenate,0.03707431316225545
Guanosine monophosphate (GMP),0.007762067012085138
Gamma-Glutamylcysteine,-0.38489291765066175
L-Glutathione (reduced),0.17795106218667575
Valine,0.03706449839918775
N-Acetylthreonine,0.0906789076240601
Indolelactic acid,-0.005189852138118268
Lidocaine,0.022918194038967245
Cinnamic acid,-0.02475576015758898
Valeryl-L-carnitine,-0.4257101383171471
Cystine,0.025168442018214783
Thioproline,-0.3015571108192029
5-Hydroxyindole,0.10131513005786986
trans-3-Indoleacrylic acid,-0.005655117860941439
Octanoyl-L-carnitine,-0.17314648301918145
Inosine,-0.1859188016490817
Phytosphingosine 1-phosphate,0.6221790864329376
L-Tyrosine methyl ester,0.3004362787644923
Guanidoacetic acid,-0.09717518684875916
Lysine,-0.04327050127316651
Serylleucine,-0.2516715607355967
1-Methylguanosine,-0.31778404077836736
Melamine,0.2976306524864999
Dihydroxyacetone phosphate,-0.0303237815587579
Trans-Aconitate,-0.02562603149966294
Uridine Triphosphate (UTP),-0.16261212613411627
Isoleucine/Leucine,0.027116353819074266
S-Adenosylhomocysteine,-0.2675771558998615
Histidinyl-Alanine,-0.15329389468263685
3-hydroxydodecanoylcarnitine,-0.009946744136679809
Proline,0.09118898749122542
Succinylcarnitine,0.0787945352225471
Cartinine,-0.017945963645867244
Valine betaine,-0.13839420487478118
Arginyl-Phenylalanine,-0.1843297547307012
Glycerophosphocholine,0.39339531406818673
Deoxycarnitine,-0.0823266894257941
Betaine,-0.036238740272203855
Asparagine,0.021365739034825734
Valyl-Tyrosine,-0.04993586448395207
Diatrizoic acid,0.031824922082058886
Arginine,0.03569142929061403
Citrulline,0.09868076748106715
N-Formylmethionine,0.14926017633741412
3-Hydroxyhexadecanoylcarnitine,0.19364141674500512
S-Lactoylglutathione,0.32370518371086116
Isovaleryl-L-carnitine,0.01244135039720547
epsilon-(gamma-Glutamyl)lysine,-0.25056886324127586
Targinine,0.15862979430491533
Sphinganine-phosphate,0.053632077714408345
gamma-Glutamylcysteine,-0.14298492719836156
N-Acetylglutamic acid,-0.30646093247856343
Histidine,0.016920898038281902
Inosine-5'-monophosphate (IMP),0.05819440794095147
Dodecenoylcarnitine,-0.08586751679422207
Ala-Phe,0.08030268127159088
Aspartate,0.08807950926190161
2-Oxoadipic acid,0.22182740824337846
Acetoacetic acid,-0.20729168076071133
Acetylcholine,-0.02503181314323404
3-ydroxyhexadecanoylcarnitine,0.0934873778276798
Serine,0.047923083656970664
"N,N-Dimethyldodecylamine N-oxide *",0.032124367398283796
Hydroxypalmitoleoylcarnitine,0.06684245970101925
Riboflavin,0.060687141787545265
Asparaginyl-lysine,0.13494626789380923
Hydroxydodecenoylcarnitine,0.06658710315891814
