Name,Log2FC_PrimCom
YBX3,0.03366011939025825
DDX11,-0.29184140905101597
SART3,0.6228622316008149
PXN,-0.36700862889008085
SLC25A3,0.13046421918101667
POLR3B,0.936814840329601
CD69,0.2611532117710595
CLEC2B,-0.021387842483785096
SELPLG,-0.39153993687812466
KCTD10,-0.39213569870809617
MLEC,0.004468459555502018
MVK,-0.012588397923977025
PPM1H,0.4027446531774313
LTA4H,-0.7526803768414914
ELK3,-0.07535583564410304
ITFG2,0.29265155754942757
ARPC3,-0.7915263342101495
GPN3,-0.0227051135249973
RAD51AP1,-0.2965056835343974
CDKN1B,0.03980396319554798
LTBR,-0.7569408096258079
OGFOD2,0.3455318012316903
OAS3,-0.2590037011476581
ARHGDIB,-0.7137111505638283
VDR,-0.1354741351036526
NUP107,0.5418953154465832
CNOT2,0.2100353758101202
TIMELESS,-0.22376232340779598
KRR1,0.5224989904726952
MRPL51,0.03971416611029737
GAPDH,-0.31555852564703857
GNB3,-0.6998795895419124
CHPT1,0.3735403240147252
TPI1,-0.033884867365551366
ENO2,-0.23900335524072577
C12orf57,0.4238957686554423
GOLT1B,-0.39048053834730395
LDHB,0.2489070465961967
PRKAB1,-0.04390657181772467
CMAS,0.19334331424687232
HCFC2,-0.26273628478060346
CLEC4A,0.0003535561259682428
RAB35,-0.6939990658498293
COX6A1,0.14580069433266354
SRSF9,0.5813986940929653
FGFR1OP2,-0.3438856038530124
NFYA,0.07108837243549809
BCLAF1,-0.02473425479788707
TMEM14C,0.02259696159393568
ASF1A,0.404014902810129
HINT3,-0.09384224613700509
NCOA7,0.09503087975558498
FBXO5,0.04071770665636364
MAPK14,-0.6043611435025488
STK38,-0.2761560431239529
HLA-DOA,0.04210613677361131
SAYSD1,-0.027329486202012088
CAP2,-0.026849274092786084
GPLD1,0.10552854307252985
ACOT13,0.3303795513374598
RPS12,-0.09097090474828698
GMNN,-0.09372482236777505
SNX3,-0.38724238794503224
ZBTB24,0.23015822411663092
CEP43,0.04112722264499085
BYSL,0.5709843565256274
PTK7,0.7989610059039113
DNPH1,-0.10038550805543571
EXOC2,-0.1053520941702961
TMEM30A,-0.6125658464449969
LY86,-0.0785033990094794
MTREX,0.4674168694767595
HARS2,0.341704464289711
NUDT12,-0.1367195662053595
TENT4A,-0.06428803172802088
DAP,-0.3024174935428039
BRD8,0.8422639292160295
GZMK,-0.2937697442053589
SPARC,-0.20674218728393726
THG1L,0.22336634500292335
TTC1,0.028163175457850218
LNPEP,-0.20832333660737296
ST8SIA4,-0.03518424103121224
NUP155,0.4847061565029755
NR3C1,-0.02780899712695785
C5orf15,0.35307128506432056
TRAPPC13,-0.45677801794687806
RARS1,-0.0937755167214447
LTF,-0.1672268270127622
MLH1,0.5656255728449269
EHHADH,-0.09869031705163775
CRBN,0.3536585598472413
HRG,-0.48265317249692047
FAM162A,0.16549544855863074
PFKFB4,-0.9521710412497522
HES1,0.07806631657597324
NPRL2,-0.02003992927229277
GNB4,-0.5293565064770914
UMPS,0.11831619697020934
ABTB1,-0.23098046897010335
KLHL18,-0.32299376744424974
HEMK1,0.23239313158834465
RRP9,0.858507567024924
EIF1B,0.14733613717391156
NKTR,0.6166618324776452
NEK4,-0.31879412905781934
WDFY1,-0.5993062565990145
EIF2AK2,0.2946484247956395
DAZAP1,0.2265461448196306
DDX1,0.6865025914320532
HEATR5B,-0.2030263703013886
MDH1,0.10848479893642493
MAPRE3,-0.29885217802235947
TMSB10,-0.2559007309095627
MSH2,0.6624859877807133
NCK2,0.2271171685945967
TFPI,0.04413776944058625
NDUFS1,0.3073567985194691
SLC11A1,0.041146477835251945
APOB,-0.16540266692249578
INO80B,-0.02359385688245891
TTL,-0.15167802868533725
FAHD2A,0.3209390446796851
SF3B6,0.5500965861299711
CENPA,-0.5299316894829145
EIF2B4,-0.12062519252505512
SNX17,-0.855096854903956
REEP6,-0.33261613850132893
GCA,-0.5848713105123289
TTC31,0.08132675482156217
NDUFS7,0.1974678630871901
PCGF1,0.13777814022848367
DOK1,-0.5410913457860149
FANCL,0.23497725083703933
IGFBP2,-0.27469814104083645
GGCX,-0.4327781541291249
