feature,delta_z
ABLIM1,-1.2588128167092378
ABLIM2,-1.648124950900209
ABLIM3,-0.7796631890146408
ABR,-1.023814175352956
ABRACL,0.35974142928573505
ABRAXAS1,0.7288442994644595
ABRAXAS2,-0.17469819132467462
ABT1,0.5898601880593951
ACAA1,0.7242380047734921
ACAA2,0.16881471116145708
ACACA,-0.3796244555787487
ACACB,0.3059278616305294
ACAD10,0.40994503122073467
ACAD11,0.6779793996722102
ACAD8,-0.7728924582205756
ACAD9,-0.11850420406991236
ACADL,-0.2236806343917862
ACADM,-0.03944344615496982
ACADS,0.12097216347320008
ACADSB,-0.7935022455841241
ACADVL,0.6146625210201622
ACAN,-0.883809507283395
ACAP1,1.0163206347971618
ACAP2,1.286065317143236
ACAP3,-0.9904527958146054
ACAT1,-0.7906735573629189
ACAT2,-0.9604157398164097
ACBD3,1.1046888632855292
ACBD4,-0.03557248444016253
ACBD5,-0.35252941561793116
ACBD6,-0.30585308285769197
ACBD7,-1.387546122877626
ACD,0.11262704990145528
ACE,0.10377769782620806
ACHE,0.08840251279559963
ACIN1,0.23385438031312694
ACLY,0.7824420688486203
ACO1,0.22834043872888057
ACO2,-1.3174061374815105
ACOT1,-0.5326594215407257
ACOT11,0.7557265993513518
ACOT13,-0.9508283499642853
ACOT7,-1.3936194198060599
ACOT8,0.4774298248617965
ACOT9,-0.585496101885344
ACOX1,0.46535007841060483
ACOX2,0.7812875392710218
ACOX3,0.11404664241143225
ACP1,-0.21822668556737518
ACP2,0.5239910623712501
ACP5,0.755337534602418
ACP6,0.7351228082230302
ACPP,0.9960440960906953
ACSBG1,-0.7005071415327462
ACSF2,-0.12468840957488438
ACSF3,-0.22845901795062803
ACSL1,0.7034322432623259
ACSL3,0.22907878109499474
ACSL4,0.7636373681198267
ACSL5,0.510487689430295
ACSL6,-1.3763060289381022
ACSM5,-0.24400460646312935
ACSS1,-1.1729327772431914
ACSS2,0.6825357732744151
ACSS3,0.773097222988393
ACTA1,0.5992308545817212
ACTB,0.9902174125438409
ACTBL2,0.8431815306669077
ACTG1,0.8163122567081671
ACTL6A,0.4633699314630145
ACTL6B,-1.4654805715038242
ACTN1,0.7056043476104721
ACTN2,-1.3759922703518397
ACTN3,0.027105008125188106
ACTN4,1.1130891924109636
ACTR10,-1.001368347454482
ACTR1A,-1.0478877635732373
ACTR1B,-0.6264775622437535
