Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-03968,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
Cer(d18:1/0:0),15.586,17.544,14.794,15.539,15.724,15.519,14.997,16.956,17.015,17.245,15.648,15.246,16.002,15.656,15.718,15.666,17.289,17.896,15.891,14.899,15.114,16.170,15.687,16.757,18.320,16.986,14.490,16.987,16.976,21.250,16.855,18.256,15.883,15.332,16.469,16.903,16.767,15.868,14.964,16.682,15.474,17.434,17.396,15.871,17.544,16.055,17.560,17.178,18.489,15.230,17.016,16.002,16.521,16.472,19.312,16.088,18.485,16.679,18.066,16.537,18.078,16.087,15.601,17.033,16.343,18.037,16.097,16.937,15.647,17.252,15.555,14.813,16.892,18.194,17.035,16.679,16.474,17.956,16.449,16.253,16.099,15.979,16.588,16.846,18.688,17.166,17.157
DG(16:0/0:0/16:0),18.863,16.564,18.806,19.021,20.186,19.147,17.768,20.046,16.388,16.056,NA,18.447,18.150,19.029,19.366,17.434,19.051,16.857,18.024,18.168,18.582,18.055,17.031,16.152,15.633,15.869,19.392,17.135,18.265,15.673,18.158,18.156,17.919,17.378,17.564,18.421,18.318,18.144,18.076,17.914,17.866,16.983,18.045,17.674,19.047,18.147,17.755,18.358,16.493,18.222,17.111,17.301,17.708,19.517,18.872,18.304,16.266,17.205,15.681,18.743,16.960,17.387,18.014,18.230,17.350,17.807,17.975,17.632,18.380,17.899,17.627,18.779,15.398,14.582,17.951,19.609,17.954,17.033,17.110,16.792,16.303,NA,16.964,16.286,NA,16.644,16.586
DG(16:0/18:0/0:0),18.295,17.140,17.964,18.352,19.611,18.553,18.069,19.831,17.285,16.588,17.816,17.927,18.439,18.503,18.594,17.585,18.690,17.189,17.985,17.634,17.817,17.580,15.973,16.387,16.267,16.298,18.904,17.478,18.909,16.278,18.263,18.102,18.211,17.508,18.396,18.310,18.508,18.136,18.089,18.053,18.250,17.426,17.511,18.310,18.995,17.720,17.964,18.465,17.265,18.755,17.344,17.730,18.015,18.767,19.062,18.212,16.496,17.772,16.326,18.496,16.930,17.926,18.107,18.430,18.128,18.554,18.454,17.842,18.578,17.980,17.865,18.958,16.149,16.323,17.344,19.043,17.628,17.366,17.951,17.258,16.319,16.727,18.514,18.262,17.833,18.531,18.266
DG(16:0/18:1/0:0),20.480,18.730,20.554,20.675,21.520,21.161,19.688,21.445,18.833,18.227,19.534,20.273,20.996,20.743,20.582,19.844,20.948,19.803,20.127,19.730,20.204,19.690,19.591,18.521,18.377,18.275,21.135,19.862,20.152,18.539,20.324,20.316,20.035,19.742,19.608,20.256,20.549,20.581,20.379,20.172,20.275,19.626,19.773,19.614,20.944,20.472,20.404,19.887,19.879,20.681,19.178,19.852,19.703,21.403,20.661,19.821,19.383,19.672,18.441,20.317,19.414,20.046,20.191,19.887,19.359,20.354,20.350,19.841,20.260,19.405,19.366,20.301,18.478,17.358,19.793,20.183,20.183,19.954,19.489,19.489,19.639,19.873,20.611,20.740,20.593,20.604,20.713
DG(16:0/18:2/0:0),18.552,18.048,18.804,19.244,20.523,18.693,19.295,18.529,17.412,16.736,17.987,18.506,18.984,17.802,18.393,17.934,18.165,18.199,18.275,18.773,18.387,17.328,17.690,16.899,16.599,16.979,18.802,18.859,17.789,18.142,18.203,18.463,17.619,18.336,18.116,18.180,17.801,18.529,19.324,18.435,18.076,18.552,18.188,18.648,20.400,18.436,18.928,17.762,18.707,19.413,18.048,18.092,16.861,18.997,18.404,19.116,18.785,17.448,17.530,18.704,19.032,17.676,17.603,18.295,18.008,18.869,18.409,18.987,18.526,19.345,18.798,19.575,17.815,16.772,19.227,18.709,18.841,18.531,17.689,18.681,18.211,17.175,17.361,16.570,17.954,17.216,17.333
DG(16:0/20:3/0:0),18.659,17.632,18.513,18.318,18.957,18.573,17.645,17.215,17.279,16.731,17.578,18.769,19.187,17.734,18.022,19.036,18.227,18.246,18.539,18.213,18.449,18.312,17.842,16.958,17.504,17.415,18.656,18.374,18.368,16.425,18.102,18.370,17.208,17.406,17.973,18.649,17.929,18.229,17.462,17.918,17.592,16.859,18.665,17.219,18.640,18.148,17.274,18.083,18.304,18.006,18.253,18.775,17.799,19.492,18.217,18.045,18.154,17.886,17.604,18.410,18.156,17.886,17.575,18.592,17.585,18.302,18.409,18.847,18.411,17.415,17.822,18.320,17.613,15.566,17.560,18.275,18.402,17.604,18.408,18.222,17.117,17.160,17.988,17.307,18.171,17.472,17.340
DG(16:0/20:4/0:0),19.570,17.908,19.705,19.319,19.033,19.343,18.246,18.271,16.977,17.309,17.674,19.967,18.726,19.488,18.504,19.569,19.531,19.002,18.752,18.509,20.205,18.461,19.524,17.209,17.056,17.523,19.005,18.627,18.317,17.155,18.712,18.987,17.460,18.522,17.210,18.499,17.843,18.857,18.493,16.774,18.505,17.777,18.387,17.524,18.899,19.221,17.649,18.575,18.618,17.440,17.558,18.518,18.275,19.231,19.102,18.643,18.183,18.295,16.864,18.878,18.221,18.368,18.886,18.419,17.907,16.696,19.038,17.742,18.890,17.657,17.850,19.487,17.464,15.906,17.510,19.632,18.030,18.036,17.891,17.771,16.809,16.995,17.237,17.356,18.084,17.952,17.116
DG(16:0/22:4/0:0),18.384,16.647,17.829,17.713,17.005,17.975,17.641,18.181,16.330,15.255,16.414,18.648,17.254,18.059,17.784,17.604,17.490,16.433,16.373,17.587,18.446,16.997,17.520,15.494,16.074,14.643,17.724,17.477,16.869,16.705,16.730,16.667,16.095,17.672,16.194,16.902,16.960,16.993,16.952,16.676,16.313,17.155,17.469,16.243,16.670,18.084,16.661,17.009,17.134,16.422,16.768,16.789,17.226,16.741,18.252,17.962,17.146,16.646,16.301,16.793,16.661,17.916,17.525,17.818,15.829,16.035,17.478,17.002,16.895,17.011,17.613,17.739,16.812,15.705,17.257,18.223,16.328,16.155,16.845,17.035,16.393,17.256,17.722,17.745,18.545,18.433,17.406
DG(18:0/18:1/0:0),18.742,17.974,18.325,18.998,19.265,19.350,18.719,20.208,17.744,17.994,18.617,17.789,19.743,18.340,18.615,17.807,19.008,17.904,17.855,18.242,17.719,18.240,17.482,17.461,17.834,16.707,18.985,18.662,18.716,18.837,18.316,19.455,18.151,18.991,18.888,19.215,19.486,18.749,18.783,18.594,18.537,19.133,18.195,18.725,18.736,18.701,18.333,17.846,19.047,19.173,18.155,18.131,18.451,19.398,20.738,18.671,17.671,18.244,17.959,18.195,18.027,18.694,18.697,19.151,17.899,19.310,19.263,18.442,18.731,18.553,18.093,17.963,17.876,17.752,18.848,18.195,17.842,18.467,17.782,17.789,19.244,19.513,20.997,21.135,21.171,21.478,21.027
DG(18:0/18:2/0:0),18.279,17.461,17.868,18.995,19.693,18.433,19.456,18.180,17.303,16.111,17.032,17.344,19.048,17.306,17.921,17.201,17.776,17.396,17.176,18.344,17.516,17.360,16.892,16.452,16.757,16.327,18.528,18.163,18.276,16.665,17.652,18.821,17.360,18.196,18.308,18.403,17.940,18.282,18.892,18.238,17.394,18.583,18.073,18.665,19.933,18.175,18.135,17.426,18.131,19.086,17.591,17.495,16.676,18.621,19.228,18.905,18.031,16.904,16.504,18.348,17.872,17.389,17.180,18.758,17.397,18.657,18.414,18.594,18.222,19.230,18.246,18.399,17.118,16.492,19.057,17.851,18.214,18.420,17.888,17.632,18.182,17.226,18.104,17.214,18.720,17.980,17.771
