Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-03968,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
PC(20:4/36:5),11.232,13.873,14.050,NA,NA,NA,NA,15.133,15.328,15.670,17.387,13.890,14.758,13.657,14.074,14.353,NA,13.610,14.625,11.327,14.188,13.603,15.331,12.018,11.616,10.995,11.999,15.538,13.063,12.990,14.085,11.759,13.551,12.477,NA,13.387,NA,13.384,NA,NA,11.144,12.144,NA,10.795,NA,12.511,14.687,13.947,11.136,NA,16.295,14.801,17.695,13.533,NA,NA,12.793,13.989,14.399,NA,12.065,15.264,15.765,10.929,14.177,12.752,14.262,NA,14.848,NA,14.074,14.737,15.241,14.104,NA,12.293,11.424,14.628,16.975,16.078,16.741,17.047,18.602,17.703,17.126,17.165,18.461
PC(20:4/P-18:1),21.942,21.278,22.002,20.892,21.321,20.805,20.715,21.152,21.759,21.407,22.167,21.326,20.647,21.064,20.649,21.219,21.859,21.753,21.078,20.921,20.523,21.031,21.388,21.559,21.501,20.588,21.631,22.663,20.368,21.630,21.179,20.661,20.760,20.649,20.758,21.105,21.348,20.942,22.590,21.465,20.715,21.835,20.653,20.751,21.860,20.697,21.185,20.442,21.840,20.629,21.936,20.992,21.679,22.267,20.063,19.339,22.337,21.846,21.624,19.561,21.876,21.801,21.495,21.466,20.547,22.342,20.718,20.471,20.772,22.828,20.228,21.729,22.263,23.011,24.129,20.274,20.765,21.154,22.335,21.174,21.103,21.695,21.509,21.607,21.708,21.613,21.988
PC(20:5/0:0),14.150,13.134,14.045,11.910,14.283,13.550,13.785,10.922,11.294,10.437,NA,15.844,13.498,13.354,13.238,11.847,13.100,13.466,13.217,14.858,13.974,11.229,NA,11.893,10.901,12.567,13.381,11.412,12.944,10.398,12.356,14.228,14.705,14.507,14.096,13.318,13.343,12.861,15.978,15.549,14.122,15.140,13.146,16.852,14.162,13.116,12.010,12.502,11.291,13.209,10.207,NA,11.726,13.592,14.984,14.353,12.191,10.986,11.363,14.145,11.675,13.507,14.419,12.022,12.173,14.077,15.363,10.531,14.159,15.670,12.230,16.289,10.354,9.249,15.701,14.924,10.748,12.496,NA,10.316,13.533,13.334,14.504,12.118,13.601,12.010,13.488
PC(22:0/0:0),12.221,14.177,12.695,12.381,13.034,12.180,12.748,11.709,13.295,12.662,11.684,12.486,NA,12.893,12.586,12.207,12.723,13.634,NA,13.693,12.913,12.229,13.332,13.208,13.286,11.976,11.719,13.768,13.886,15.602,12.683,12.909,12.333,12.797,13.313,11.970,11.792,12.266,11.497,13.975,11.836,13.290,13.916,12.838,13.827,12.191,12.952,13.222,12.949,11.975,13.399,11.942,11.945,12.093,14.908,12.243,14.586,14.501,13.337,13.983,13.162,11.776,10.830,14.479,13.245,12.895,12.919,12.856,12.752,11.926,13.838,13.338,13.760,16.515,12.996,13.846,11.232,13.824,14.066,11.076,NA,NA,10.589,NA,12.275,10.831,11.465
PC(22:1/0:0),11.882,13.496,11.420,11.626,12.746,11.584,12.096,11.652,13.188,13.076,13.115,11.310,12.591,11.505,12.273,11.086,13.750,13.136,NA,12.730,12.081,11.739,13.570,13.254,14.051,12.047,11.751,13.455,12.692,15.595,12.444,13.267,11.410,12.547,12.574,13.145,12.457,11.861,11.778,13.138,11.700,13.290,12.703,12.920,12.470,13.173,13.212,11.269,13.018,12.695,13.203,11.432,13.026,11.443,15.381,12.010,14.296,13.183,13.311,13.190,12.334,10.884,12.018,14.029,12.335,13.282,13.395,12.346,12.732,11.792,12.946,11.178,14.404,16.020,12.495,11.852,11.484,13.167,12.110,11.909,11.806,12.207,12.762,13.697,13.146,12.987,13.857
PC(22:4/0:0)_A,19.502,16.095,NA,NA,16.548,17.744,17.509,18.586,16.521,NA,14.915,18.056,16.255,19.233,18.288,16.172,17.058,16.265,16.567,18.984,17.788,16.260,NA,NA,15.235,15.071,17.336,15.987,NA,NA,15.833,16.411,18.145,18.204,NA,15.583,17.998,14.537,17.208,18.123,15.333,19.074,17.169,17.249,16.728,18.339,17.128,18.056,15.428,16.053,15.027,14.128,15.721,16.489,19.465,18.878,NA,NA,14.529,16.921,16.519,NA,17.262,17.676,NA,NA,17.320,NA,17.415,19.543,16.087,18.826,NA,15.049,19.542,17.661,15.971,15.640,NA,14.656,NA,18.759,19.782,NA,19.278,NA,20.296
PC(22:4/0:0)_B,15.352,15.219,NA,NA,13.650,NA,14.522,14.775,14.504,NA,13.686,14.471,13.155,15.685,14.668,13.411,14.023,14.127,NA,15.112,15.204,13.675,NA,NA,13.772,12.331,13.648,13.901,NA,NA,13.526,14.033,14.167,15.130,NA,13.248,13.796,12.581,14.585,14.151,12.728,15.645,15.015,14.122,14.106,15.268,14.247,14.824,14.192,13.404,13.936,12.491,13.776,13.192,16.991,15.578,NA,NA,13.500,14.328,13.597,NA,14.151,15.550,NA,NA,14.649,NA,14.321,15.146,15.236,16.172,NA,15.758,15.300,14.601,13.160,13.666,NA,12.728,NA,15.311,17.019,NA,16.436,NA,18.314
PC(22:4/22:6),16.572,16.135,17.861,16.705,15.788,16.583,16.382,19.080,18.180,17.758,17.648,17.150,17.529,17.891,17.667,17.301,17.100,16.281,16.036,15.037,18.543,16.886,17.203,16.223,16.855,16.391,18.242,18.181,16.875,16.470,16.384,15.588,16.867,16.823,15.998,16.144,15.888,16.473,16.914,16.779,16.117,15.273,17.095,14.706,16.468,16.621,17.629,17.044,16.226,16.670,17.476,16.806,18.395,16.114,16.735,16.317,18.444,16.467,16.992,16.666,16.380,17.137,18.278,15.583,16.983,16.766,17.279,17.088,16.972,16.143,16.810,17.787,17.628,17.167,17.061,17.239,16.231,16.314,18.113,17.673,17.793,18.643,19.613,19.154,18.344,19.033,19.776
PC(22:6/0:0),20.154,16.339,18.729,NA,18.849,18.919,18.591,18.893,17.624,17.917,15.862,17.996,18.048,18.583,18.215,17.354,18.347,17.138,18.153,18.423,17.794,17.014,14.073,16.655,16.158,17.287,17.971,16.446,18.415,NA,17.363,18.240,18.317,17.807,NA,17.105,18.475,16.990,17.586,18.620,18.615,19.044,18.039,19.264,19.366,19.230,18.217,18.136,15.998,17.928,17.316,15.947,17.263,18.966,20.303,19.086,NA,16.628,15.896,18.415,17.076,NA,18.331,19.505,17.814,18.981,18.455,NA,18.924,19.881,16.889,18.397,16.379,14.509,19.555,17.907,17.445,17.679,16.882,16.084,20.392,20.914,21.500,21.175,20.990,NA,22.032
PC(22:6/22:6),15.363,16.703,16.695,15.257,16.254,16.324,15.432,17.838,18.267,19.367,18.489,15.711,18.482,15.500,16.438,17.522,17.246,17.258,16.440,13.991,17.353,16.910,17.829,17.301,18.059,17.389,17.194,17.911,16.482,14.623,17.647,16.287,16.417,15.042,15.637,17.297,14.419,18.109,15.563,15.768,16.702,15.195,17.430,15.560,16.117,15.702,18.668,16.138,17.319,16.329,18.996,17.298,19.295,18.460,15.344,14.883,18.914,17.549,18.579,15.835,17.204,18.127,18.914,15.681,17.578,17.129,17.598,16.587,17.535,14.894,16.376,17.494,17.991,17.307,15.862,16.474,16.574,18.101,18.344,18.142,19.392,19.668,20.909,19.606,19.532,19.987,20.864
PC(22:6/36:4),11.210,13.709,13.299,NA,NA,NA,NA,12.509,15.520,16.022,16.707,NA,14.457,11.969,12.913,14.932,NA,14.122,14.537,NA,11.954,13.356,13.953,12.677,12.249,NA,11.368,14.493,11.360,11.357,14.103,12.245,11.901,11.396,NA,13.020,NA,13.289,NA,NA,11.035,11.617,NA,NA,12.136,12.096,14.506,13.642,11.626,NA,16.330,14.850,17.608,13.358,NA,NA,12.281,13.721,14.136,NA,11.845,15.136,15.538,12.070,13.934,11.698,13.687,NA,14.948,NA,14.124,13.142,14.869,13.310,NA,NA,11.813,14.529,17.031,15.577,16.816,17.780,18.414,18.036,17.195,17.434,18.742
PC(24:0/0:0),13.804,16.621,14.144,13.606,14.502,13.697,14.305,11.896,16.267,15.967,15.528,14.824,13.306,14.402,14.305,14.758,14.215,16.011,13.757,14.742,15.164,14.347,16.246,15.892,16.375,15.108,14.098,16.930,15.449,18.060,14.326,14.271,14.499,14.794,15.302,14.389,13.042,14.516,14.006,16.244,14.136,15.920,15.804,14.580,15.532,14.148,15.600,14.838,15.767,13.688,16.806,14.773,15.345,13.667,13.861,14.117,17.595,16.433,16.648,15.671,15.674,14.039,14.050,15.643,15.184,14.145,15.073,15.258,14.683,13.631,15.832,14.713,17.305,18.923,14.556,16.130,13.380,15.714,16.841,15.349,12.543,14.326,14.433,14.319,16.017,14.646,14.123
PC(26:0/0:0),14.678,16.698,14.512,13.297,14.268,NA,NA,NA,17.336,16.549,17.013,NA,NA,NA,NA,14.912,14.077,16.924,15.417,NA,NA,15.403,18.203,17.224,17.788,16.643,NA,17.883,14.026,18.391,14.265,14.417,NA,14.388,13.799,14.672,13.976,14.793,NA,15.281,13.429,16.310,14.777,13.409,14.365,14.773,17.067,15.019,16.569,NA,17.149,15.260,16.235,NA,13.887,14.283,18.110,15.865,17.543,14.212,16.719,14.998,15.726,14.820,15.575,NA,16.062,15.314,15.010,NA,15.021,14.090,18.201,19.173,NA,15.910,14.419,16.425,16.517,16.460,14.122,15.898,16.211,16.772,17.219,16.910,16.392
PC(26:1/0:0)_A,NA,14.453,10.164,NA,NA,NA,NA,NA,15.464,14.981,15.337,NA,NA,NA,NA,12.614,10.816,13.859,12.054,NA,NA,12.697,16.213,14.655,15.949,14.164,NA,15.614,11.431,16.134,11.432,10.112,NA,11.465,10.331,12.647,11.065,12.015,NA,11.864,11.459,13.701,11.153,10.571,NA,11.194,14.436,11.910,13.130,NA,15.158,12.625,14.488,NA,10.295,12.031,16.108,14.555,15.635,NA,13.492,11.157,12.576,11.813,12.043,10.787,13.239,11.738,10.354,10.285,11.869,NA,16.795,17.165,9.880,10.985,11.919,14.005,14.280,14.333,12.784,14.266,13.601,15.056,15.981,15.634,14.688
PC(26:1/0:0)_B,13.743,17.735,13.172,12.562,13.306,11.779,11.927,NA,18.760,18.361,18.546,13.058,12.612,12.675,12.142,16.064,14.033,17.901,16.071,12.500,13.141,15.977,19.050,17.995,19.377,17.559,12.698,18.881,14.243,19.727,14.761,14.640,12.961,14.568,13.327,15.586,13.551,15.785,14.044,15.287,13.723,17.298,14.911,13.199,13.606,14.811,17.827,15.300,17.030,12.208,18.774,16.333,17.862,14.177,13.088,13.916,19.244,17.361,18.992,13.370,16.757,14.962,16.378,15.303,15.481,14.272,16.455,15.687,14.312,11.848,15.010,12.323,19.665,20.327,13.138,13.934,14.932,17.302,17.907,18.200,16.079,17.586,17.175,18.248,18.964,18.286,17.791
PC(O-14:0/16:0);PC(O-16:0/14:0),19.694,19.198,19.388,19.779,20.065,18.540,18.262,21.948,19.305,19.017,20.074,19.149,18.709,19.741,19.689,18.547,19.189,18.467,19.298,19.372,19.011,19.842,20.323,19.648,19.635,19.754,19.969,20.302,20.563,19.191,19.522,20.190,19.343,18.991,19.578,20.644,19.874,19.639,19.820,20.567,19.553,18.597,18.732,19.207,19.625,19.413,18.573,20.622,18.886,19.663,18.879,18.844,18.811,18.633,21.100,19.062,19.416,19.344,19.423,19.396,19.334,18.861,19.867,20.050,19.046,19.973,18.926,19.305,18.724,19.979,19.524,18.153,19.433,19.324,19.022,22.498,19.960,19.834,19.302,19.851,18.481,19.572,19.141,19.694,20.304,20.011,19.516
PC(O-16:0/0:0),17.962,19.308,17.072,17.725,19.198,17.440,17.920,19.986,18.074,17.245,17.304,17.318,17.259,17.398,17.582,17.439,18.144,18.593,17.340,18.156,17.981,18.155,18.752,18.582,17.588,18.617,18.143,18.310,18.813,20.112,17.818,20.159,17.643,18.260,17.964,18.693,18.689,17.254,17.628,18.293,18.183,18.736,18.103,18.788,18.737,19.004,18.179,19.072,18.309,18.086,19.085,17.134,17.377,17.445,21.091,18.652,19.508,18.893,18.225,19.420,18.515,16.759,17.423,21.400,17.395,18.401,18.034,18.107,17.778,19.134,19.392,17.046,18.724,19.727,18.231,19.899,17.852,19.500,18.018,17.184,15.948,17.702,16.693,17.226,17.846,16.717,17.137
PC(O-16:0/16:0),23.430,22.772,23.372,23.687,23.676,22.137,22.365,24.961,22.953,22.669,23.424,23.433,23.125,23.709,23.773,23.368,23.745,22.465,23.540,23.094,23.680,22.999,24.257,22.684,22.996,23.883,24.154,23.589,24.049,23.025,23.185,24.039,22.908,23.178,23.090,23.823,23.253,23.213,23.323,23.376,23.267,22.198,22.896,23.005,24.278,23.723,23.103,23.961,22.260,23.503,22.601,23.242,23.188,22.662,24.774,23.637,23.642,22.802,22.572,24.108,23.366,22.915,23.764,23.828,23.247,23.290,23.386,23.459,22.837,23.816,23.676,23.476,22.896,22.298,23.548,24.548,23.701,23.388,23.239,23.299,23.079,23.177,23.614,23.293,23.427,23.533,23.693
PC(O-16:0/16:1)_A,20.446,20.618,20.176,20.463,20.210,18.538,18.329,22.181,20.713,21.380,22.368,19.555,20.120,18.793,19.821,20.960,20.331,21.104,21.027,19.509,20.434,21.187,22.865,20.925,20.358,22.220,21.033,21.038,20.543,20.431,20.661,20.887,20.194,19.326,19.521,22.037,20.437,20.058,20.483,20.616,21.074,19.457,19.099,20.260,20.931,20.290,20.247,20.929,20.841,20.009,22.028,20.853,21.605,19.864,20.923,19.325,21.699,19.968,21.888,20.138,21.055,20.165,20.759,20.424,19.536,20.416,20.595,20.622,19.659,19.916,20.292,18.689,21.510,20.760,19.499,21.217,21.048,21.156,21.180,21.846,21.157,22.755,21.316,22.164,22.933,22.578,22.032
PC(O-16:0/16:1)_B,21.188,21.009,20.431,20.804,20.973,19.409,19.691,22.990,21.067,20.792,21.817,20.159,21.863,19.487,20.380,21.275,21.686,20.870,21.571,20.469,20.609,21.503,22.290,21.305,20.891,22.438,21.779,20.808,21.215,20.356,21.605,21.822,21.164,20.276,21.065,21.642,21.767,20.843,20.686,22.050,22.058,19.212,20.211,20.605,21.368,20.702,20.960,21.846,21.192,21.479,21.444,21.099,20.908,21.079,22.126,19.592,21.754,20.778,21.440,20.849,21.446,21.165,21.636,21.939,20.243,21.561,20.404,21.921,20.455,20.905,20.892,19.577,21.278,20.706,20.064,20.730,22.000,21.835,21.033,22.293,20.789,22.147,20.750,21.611,22.667,21.897,21.352
PC(O-16:0/18:1);PC(P-18:0/16:0),23.907,23.547,23.957,23.792,23.764,22.712,22.906,25.566,24.386,24.660,25.955,23.569,25.075,23.788,24.081,23.843,24.539,24.043,24.184,23.284,24.148,23.700,25.790,24.321,24.186,24.856,24.923,24.942,24.235,23.958,24.170,24.421,23.872,23.984,23.524,24.247,24.201,24.227,23.860,24.150,24.447,23.378,23.263,23.362,24.569,24.288,24.456,24.270,24.089,24.516,24.950,24.284,24.747,23.839,24.890,23.581,24.968,23.705,24.786,24.447,24.448,24.053,24.957,24.337,24.097,24.466,24.521,23.931,23.472,23.864,23.644,23.910,24.655,24.349,23.645,24.196,24.283,23.770,24.530,24.455,24.688,25.490,25.359,25.733,25.858,25.913,25.752
PC(O-16:0/18:2),19.582,19.826,19.413,19.889,20.476,18.691,19.589,21.447,19.763,18.568,20.331,18.615,21.298,19.026,19.133,19.200,19.548,19.666,19.613,19.833,19.890,19.137,20.913,20.240,19.075,20.037,20.534,20.173,19.817,19.601,19.486,21.049,19.709,20.067,19.830,20.037,20.319,19.134,20.260,20.491,20.096,20.343,18.668,20.067,21.946,20.026,20.556,19.832,19.954,21.085,19.529,19.761,18.546,19.666,21.298,21.434,20.637,19.164,19.754,20.536,20.387,18.606,19.937,21.185,19.213,20.794,19.781,20.945,19.400,21.407,20.341,20.184,19.912,20.225,20.542,21.541,20.250,20.117,19.968,20.493,19.012,19.366,18.389,18.735,19.476,18.863,19.281
PC(O-16:0/20:4),23.338,23.139,23.312,23.433,23.095,22.494,22.825,25.275,23.614,22.618,23.848,23.901,23.315,23.501,23.598,23.172,24.085,23.261,23.330,23.036,23.289,23.082,23.380,23.294,23.144,23.518,24.329,23.817,24.006,23.585,23.351,23.836,22.915,23.323,22.907,23.493,23.372,23.171,23.515,23.296,23.505,22.536,23.252,23.371,24.354,23.894,23.695,23.861,23.085,23.438,22.895,22.974,22.873,23.030,23.858,23.212,24.496,23.608,23.038,24.271,23.465,22.773,23.780,24.265,23.011,23.968,23.390,23.765,23.312,23.553,23.669,23.250,23.357,22.796,23.457,25.513,23.436,23.250,23.623,23.226,21.630,23.074,22.575,23.068,23.520,23.234,22.926
PC(O-18:0/0:0),16.279,17.589,15.514,16.424,17.429,15.769,16.599,18.348,16.917,14.643,15.033,14.747,16.343,15.951,15.628,16.000,16.420,16.136,15.513,16.705,16.012,16.384,15.859,16.955,16.039,16.814,16.267,16.062,17.749,17.966,16.435,18.899,16.157,17.008,16.868,16.656,17.319,15.506,15.129,17.567,16.806,17.211,16.872,17.738,17.244,17.302,16.404,17.455,15.997,17.214,16.276,16.068,15.564,16.186,20.066,17.161,17.353,18.513,16.096,18.061,16.581,14.750,15.612,20.804,15.986,17.270,16.194,17.342,16.592,17.385,18.307,15.570,16.804,18.922,16.405,18.020,16.381,17.956,16.126,14.744,14.506,15.408,15.320,15.229,15.677,14.385,15.026
PC(O-18:0/16:0),21.566,21.500,22.137,22.061,21.473,20.152,21.162,23.515,22.601,22.189,22.728,21.201,21.993,22.324,22.077,21.731,22.211,21.002,22.252,21.074,21.467,21.510,22.582,20.990,21.576,21.922,22.579,22.515,23.165,21.370,22.020,22.551,21.648,21.647,22.014,21.785,21.739,21.475,20.214,22.471,21.879,20.596,21.127,21.343,22.751,21.678,22.004,22.363,20.856,22.306,21.987,21.749,22.897,21.545,22.955,21.822,22.229,21.998,21.593,22.908,21.950,22.115,22.825,22.254,22.323,22.080,21.313,22.233,21.450,21.840,22.345,21.782,21.787,21.361,21.480,22.644,22.210,21.986,22.605,22.118,23.407,23.683,24.135,23.599,23.389,23.551,24.370
PC(O-18:0/18:1),20.315,20.939,19.917,20.952,19.737,19.281,19.591,22.803,21.312,22.488,23.501,18.820,21.603,19.847,19.713,20.077,21.050,21.281,20.636,19.563,19.270,20.780,22.893,22.027,21.328,22.278,21.852,21.991,21.600,21.969,20.600,21.714,20.638,21.094,21.666,21.085,21.460,20.607,19.149,21.850,22.260,21.451,19.840,21.184,21.171,20.418,21.484,20.734,21.473,21.927,22.065,21.164,21.462,20.749,22.841,21.187,22.340,21.020,22.691,21.128,21.856,20.366,21.357,21.695,20.071,22.050,20.669,21.936,20.140,21.260,21.136,19.589,22.045,22.286,19.821,21.467,20.871,21.119,21.576,21.152,21.379,22.745,22.559,23.403,23.379,23.300,23.154
PC(O-18:0/22:4),20.459,19.838,19.587,20.110,18.305,19.209,19.755,23.134,20.996,18.920,19.611,18.198,19.633,20.777,19.985,20.408,20.398,18.763,18.899,19.800,20.367,19.905,18.901,19.315,19.955,19.913,20.116,19.663,21.380,19.975,20.172,20.419,20.272,19.558,19.610,19.222,20.242,18.981,17.729,21.215,19.198,19.064,19.914,19.167,19.723,20.460,20.241,21.706,18.962,19.773,18.829,19.410,19.630,18.547,21.342,19.981,19.373,20.594,18.907,20.787,19.679,19.668,20.682,22.217,19.366,19.941,18.253,21.973,19.630,20.451,21.336,18.259,19.274,20.414,19.776,21.770,19.947,20.229,20.161,19.482,19.059,20.026,20.250,20.386,20.243,19.784,20.999
PC(O-18:1/0:0),17.092,18.124,16.596,16.193,18.278,16.311,16.810,18.482,17.438,16.774,16.982,16.839,18.038,16.053,16.608,16.530,17.882,17.223,16.490,17.084,17.167,16.675,17.154,17.570,17.527,17.784,17.835,18.080,17.694,18.991,17.274,18.661,17.246,17.619,16.989,17.947,18.021,17.089,17.531,17.603,17.718,17.853,17.174,18.245,18.099,18.199,17.578,17.939,17.656,18.079,18.061,16.499,16.648,17.021,20.199,17.577,18.769,17.746,17.659,18.475,17.421,16.312,17.276,19.988,16.874,18.071,17.893,17.138,16.887,18.094,17.833,16.575,18.262,19.178,17.272,17.186,17.465,18.288,17.224,16.425,16.023,17.730,16.289,16.671,17.443,16.325,17.043
PC(O-18:1/20:4),22.756,22.490,22.757,22.545,22.926,21.793,22.689,23.901,23.237,21.761,23.226,23.542,24.406,22.726,22.965,22.544,23.935,22.457,22.752,22.734,22.917,21.937,22.616,22.378,23.377,23.253,24.254,23.748,23.217,23.107,23.125,23.294,22.794,23.248,22.552,23.369,22.969,23.490,24.089,22.900,23.505,22.196,22.776,22.979,24.354,23.548,23.292,23.110,22.730,23.725,22.266,22.463,21.915,22.896,23.503,22.596,23.738,22.597,22.530,23.740,22.665,22.581,23.792,23.724,22.555,23.803,23.767,23.346,22.583,23.338,22.724,23.328,23.100,22.346,23.188,23.905,23.138,22.651,22.655,22.350,21.271,22.365,21.311,21.694,22.387,22.091,22.056
PC(P-16:0/16:0),24.313,21.894,23.077,22.737,23.881,23.439,22.100,23.191,22.589,22.212,23.305,22.885,21.465,23.939,23.668,22.508,24.261,22.724,24.228,22.555,22.434,23.420,22.937,22.669,21.602,21.746,23.880,23.518,22.794,22.379,23.562,22.119,23.444,22.039,23.559,21.520,23.440,23.185,23.406,23.540,22.973,21.657,22.776,22.468,24.922,20.225,21.776,22.636,21.807,22.805,22.492,22.115,22.852,24.028,22.265,21.386,22.796,22.920,22.335,21.795,23.421,23.317,23.414,21.415,22.834,24.719,22.259,21.093,22.547,24.016,22.492,22.979,22.930,22.261,24.317,21.834,23.954,22.474,23.435,23.479,22.054,22.551,22.827,22.466,22.585,22.683,22.821
PC(P-16:0/16:1),21.168,18.785,19.648,19.251,20.744,20.478,19.082,19.476,18.982,18.499,20.505,19.859,19.058,19.494,19.332,18.997,21.621,20.203,21.412,19.784,18.795,20.154,19.529,19.791,18.068,18.413,20.786,19.345,18.936,19.174,20.828,18.244,20.410,18.553,20.644,17.527,20.939,20.204,20.486,20.983,20.638,18.150,19.251,19.649,21.771,16.457,18.799,19.013,19.155,19.068,19.309,18.516,18.223,22.024,18.423,17.255,20.010,19.664,19.331,17.144,20.251,21.078,20.452,18.109,19.174,22.079,18.409,17.754,19.619,21.239,19.043,19.545,20.082,19.491,20.832,16.807,20.977,19.112,20.146,21.564,17.651,18.278,17.486,17.338,18.049,17.931,17.664
PC(P-16:0/18:1),23.171,22.782,22.297,21.483,23.062,23.003,21.194,22.164,22.277,23.690,24.244,21.730,21.648,22.595,21.593,22.399,23.640,23.598,23.807,21.522,21.249,22.819,24.778,23.631,22.723,22.883,23.213,24.232,21.544,22.997,22.570,21.620,22.814,21.563,22.852,21.449,23.427,22.754,22.527,22.824,23.204,22.479,21.429,21.874,24.460,21.120,22.441,21.591,23.384,22.070,24.054,22.901,23.307,24.232,21.853,21.024,24.799,22.774,24.160,20.480,23.249,22.819,22.790,20.759,21.846,25.168,22.836,21.163,22.013,23.439,22.079,22.232,24.248,24.065,23.668,19.967,22.827,22.045,24.016,23.682,22.479,23.900,23.103,23.769,23.858,23.947,23.554
PC(P-16:0/20:4),24.059,22.370,23.738,22.862,23.728,24.133,22.705,23.609,22.532,21.481,23.000,23.937,22.206,24.371,23.674,22.109,23.778,23.115,23.448,23.019,22.780,23.330,21.489,22.817,21.736,21.692,24.184,23.282,22.865,23.044,23.214,21.983,23.173,22.871,22.939,21.693,23.427,23.432,23.730,23.330,22.760,22.272,23.060,23.067,24.558,21.345,22.301,22.574,22.115,22.798,22.039,21.426,21.989,23.895,22.397,22.083,23.440,23.295,22.009,21.985,22.907,23.164,23.653,21.527,22.868,24.629,22.925,21.018,22.877,23.987,22.448,23.925,22.658,22.090,24.621,22.410,23.295,22.372,23.363,22.507,21.130,20.743,21.272,20.558,21.489,21.341,21.209
PC(P-18:0/20:4),22.624,20.393,22.894,21.877,21.890,22.638,22.235,21.740,21.673,19.765,21.043,21.491,21.330,22.922,21.246,21.309,22.300,20.868,21.896,21.214,20.602,21.517,19.023,21.586,20.701,19.884,22.688,21.250,21.689,20.530,21.875,22.045,22.212,22.218,22.496,20.453,22.313,21.144,21.061,22.283,21.729,21.156,21.988,22.251,22.403,21.024,21.485,21.151,21.072,21.920,20.312,21.302,20.757,22.982,21.293,20.864,21.196,23.274,20.314,21.077,21.428,21.542,21.868,21.664,21.810,23.781,20.799,21.635,21.962,22.517,20.976,21.973,20.071,21.083,23.205,20.301,21.260,21.178,22.151,20.245,20.154,20.566,21.370,21.063,20.202,20.399,21.106
PC(P-18:0/22:6)_A,21.017,19.815,20.557,20.348,21.055,19.773,20.251,22.738,21.383,19.560,20.832,20.450,22.962,19.768,20.073,20.678,21.878,19.923,20.701,19.951,20.309,19.973,20.293,20.463,21.928,21.802,21.783,21.703,21.235,19.220,21.044,21.745,20.767,20.099,20.919,21.480,21.014,21.648,21.257,21.139,22.078,19.884,20.705,20.774,22.072,21.756,21.881,20.919,20.608,22.077,19.878,20.974,19.765,21.011,21.513,19.606,21.044,20.397,20.489,21.839,20.454,20.214,22.216,22.395,20.321,21.731,21.529,21.291,20.250,21.120,20.161,19.809,20.723,20.403,20.568,20.789,21.525,21.354,19.944,20.765,19.476,20.163,19.358,19.247,19.553,19.423,19.777
PC(P-18:0/22:6)_B,21.474,18.557,20.911,20.377,19.912,20.801,20.211,20.946,20.546,19.589,19.922,18.129,20.099,20.325,18.511,20.076,21.011,18.960,20.632,18.581,18.331,20.442,18.395,20.209,19.732,19.529,20.654,19.662,20.360,17.447,20.585,21.311,20.342,19.285,21.309,19.279,20.595,19.668,18.654,21.155,20.323,19.505,20.717,20.293,20.821,19.784,20.405,20.009,19.379,20.453,19.598,20.489,19.983,21.837,19.855,18.497,19.044,22.004,19.712,19.641,20.256,19.825,20.735,21.073,19.669,22.367,18.856,20.118,20.022,20.806,19.168,18.302,18.605,20.126,21.205,18.113,20.196,20.657,19.695,19.780,19.998,20.438,20.731,20.281,19.631,20.228,21.035
PC(P-18:1/18:1),19.313,20.968,19.386,18.358,19.028,18.804,18.105,19.170,20.543,22.551,23.288,17.530,18.928,17.527,17.211,20.238,20.629,21.778,20.283,17.929,17.997,19.905,22.333,21.823,20.958,20.551,18.687,22.454,17.769,20.829,19.096,19.346,18.451,18.525,19.238,19.501,20.573,19.257,20.123,18.941,19.521,21.290,18.424,18.382,20.170,19.556,20.653,18.993,22.179,18.332,22.782,21.345,22.019,21.151,18.034,17.697,23.029,20.498,22.453,17.195,21.181,20.526,20.459,18.492,19.969,21.579,20.673,19.336,18.887,20.794,19.148,18.596,22.658,23.076,21.920,20.435,19.084,20.196,21.972,21.666,21.504,23.391,22.120,22.963,23.104,23.146,23.357
