feature,delta_z
CL 70:4,-0.4634800314538857
CL 72:5,-0.6779712689963115
PA 18:1_16:0,-0.8364799859699728
PA 18:2_16:0,-0.5454184583867049
PA 20:4_16:0,-1.0630876346890232
PA 18:1_18:1,-0.6383815479174593
PA 20:4_18:1,-0.814823507048547
PE 22:6_14:0,-0.8396427771369994
LPE 16:0_0:0,0.6252622344802595
LPE 16:0_0:0,-0.4347168799728948
PE 16:0_16:0,0.8687537879236891
PE 16:1_16:0,0.04905936942017027
PE 18:1_14:0,0.04905936942017027
PE 18:0_16:0,0.06833557680301382
PE 18:1_16:0,-0.2875672735788214
PE 18:2_16:0,0.3970769842398516
PE 18:1_16:1,0.3970769842398516
PE 20:4_16:0,-0.32152094598477693
PE 20:5_16:0,-0.24881114458002884
PE 22:4_16:0,-1.0929923714807588
PE 22:5_16:0,-0.7905214801989178
PE 22:6_16:0,-1.1340209873429918
LPE 16:1_0:0,0.6853216669435103
PE 18:1_16:1,-0.342585012257894
PE 18:2_16:1,-0.10966471715612058
PE 20:4_16:1,-0.6842831257306092
PE 22:6_16:1,-0.4499917798531192
LPE 17:0_0:0,0.43610146860553883
PE 20:4_17:0,-0.43781470142862877
PE 22:6_17:0,-1.2122410058155242
LPE 18:0_0:0,0.3684343983989394
LPE 18:0_0:0,0.005796866140665791
PE 18:1_18:0,0.12983645977824013
PE 18:2_18:0,0.6632754813615125
PE 20:2_16:0,0.6632754813615125
PE 20:1_18:0,0.22273533474008583
PE 20:2_18:0,-0.21561004295486702
PE 20:3_18:0,-0.06899660306350316
PE 20:3_18:0,-0.524407237560334
PE 20:4_18:0,-0.7989193808417028
PE 22:3_18:0,-0.6689853875894608
PE 22:4_18:0,-1.4062893590196617
PE 22:5_18:0,-1.1704041384580557
PE 22:6_18:0,-1.4487016381076825
PE 24:4_18:0,-0.8534386382782291
LPE 18:1_0:0,0.9174288209298986
LPE 18:1_0:0,0.4722992231799549
PE 18:1_18:1,0.03650464516638267
PE 18:2_18:1,0.5083806509154207
PE 18:2_18:1,-0.3148143317319544
PE 20:3_16:0,-0.3148143317319544
PE 20:1_18:1,0.4290079536324196
PE 20:2_18:1,0.40016603746503554
PE 20:3_18:1,-0.007787716517911982
PE 20:4_18:1,-0.6594185653865929
LPE 18:2_0:0,1.0413961025286564
PE 20:4_18:2,-0.5442445638587838
LPE 20:0_0:0,0.5379126140108201
PE 20:4_20:0,0.0384678100282643
LPE 20:1_0:0,0.6692331483905729
LPE 20:1_0:0,0.15268918301381118
LPE 20:2_0:0,0.6619021057591976
LPE 20:3_0:0,0.8496031423273172
LPE 20:3_0:0,0.7353680429654608
LPE 20:4_0:0,0.686855896443091
PE 22:0_20:4,0.3471376393383395
LPE 20:5_0:0,0.7842853911598533
LPE 22:1_0:0,0.6870427658348992
LPE 22:1_0:0,0.4958245145693763
LPE 22:2_0:0,0.3906311034233332
LPE 22:2_0:0,-0.16678384546809827
LPE 22:4_0:0,0.41267980455738984
LPE 22:4_0:0,-0.08152353714184699
LPE 22:6_0:0,0.5926603058706369
PE 22:6_22:6,-1.0532672748909075
PE 24:0_18:1,0.6469330226530015
PE O-20:3_16:0,0.16878311746351699
PE O-20:4_16:0,0.5700510400129116
PE O-22:4_16:0,-0.2538502833108478
