feature,delta_z
MIR4271,-0.0724030064209181
USP4,0.6885356565268296
Metazoa_SRP,0.22359015583964004
GPX1,1.016885984506343
RHOA,1.1478339837487446
PUSL1,-0.18403054606143254
MIR4254,-0.14817806177033616
RHOA-IT1,0.6284069882523435
TCTA,0.42651945387216683
AMT,-0.21762090505118709
NICN1,-0.7751878342994708
DAG1,-0.05694100338161004
BSN-AS2,-0.4283103710233568
BSN,-1.3736894937034303
BSN-AS1,0.30018466987674525
AC099668.1,-0.4609309573096554
RP11-84A19.3,0.38030706328120323
APEH,0.6022412357934207
MST1,-0.05080298660836258
AC099668.5,0.05895867940196761
RNF123,-0.19584357437231875
AMIGO3,0.5640962719526667
GMPPB,0.8260304951704788
IP6K1,-0.3405333736133024
CDHR4,0.5688741551112232
SPOCD1,1.0832458215180822
FAM212A,-0.2137824072423432
UBA7,0.47645573141532177
AC139451.1,0.3220662775027221
TRAIP,-0.3398154108561535
CAMKV,-1.297868232775318
RN7SL217P,-0.5466172814420159
ACTBP13,0.13856894504110107
MST1R,-0.8452695171320874
RP11-84A19.2,0.1709963137505688
CTD-2330K9.3,0.1542427298153833
MON1A,-0.7481626299642821
RBM6,-0.4655482512813252
RBM5,-0.2849690529677835
RBM5-AS1,0.09217403242819587
SEMA3F-AS1,0.238664708994343
SEMA3F,0.8837284712609099
MIR566,0.20701146005275084
GNAT1,-0.0751189309558614
RP11-84A19.4,0.910250228600172
SLC38A3,-0.817122916001628
GNAI2,0.9864804468391875
MIR5787,-0.25963764700336356
XXcos-LUCA16.1,0.7173889890336014
U73166.2,-0.2579747490326351
SEMA3B-AS1,-0.2956103114443589
SEMA3B,-0.3578767411807974
LSMEM2,-0.5551122108143391
IFRD2,0.9039954574220336
PTP4A2,0.6719603940172034
HYAL3,-0.1543797849699719
NAT6,-0.31126428306463133
HYAL1,-0.39934298644998967
HYAL2,0.7092335239278369
TUSC2,-0.07328718864616138
RASSF1,1.0704631034453098
RASSF1-AS1,0.049605113273842656
