Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01370,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
PE(18:2/0:0),18.724,17.393,17.679,17.436,18.863,18.615,18.788,17.443,14.948,13.777,12.916,16.891,18.332,17.269,17.025,16.514,16.662,17.016,17.015,19.507,16.439,16.468,13.954,16.685,14.894,16.458,18.702,14.582,17.480,16.808,18.956,18.008,19.073,18.404,16.777,18.558,15.945,19.022,18.010,18.572,19.563,13.060,17.260,19.426,19.729,18.318,17.088,17.285,16.455,19.487,14.348,13.917,12.420,17.870,20.428,20.842,13.854,13.795,14.072,18.348,17.635,15.313,15.169,19.376,17.057,18.574,17.588,16.981,18.442,20.498,17.064,18.816,13.998,15.515,19.492,17.608,18.062,17.012,13.064,14.133,16.424,15.176,15.121,14.120,15.442,14.315,14.741
PE(18:2/20:4),18.712,19.132,19.154,18.960,19.228,18.103,18.942,18.134,18.542,18.078,18.344,18.911,19.078,18.548,18.775,19.316,18.358,18.570,18.656,19.078,19.939,17.682,20.307,17.771,17.383,18.841,19.027,18.424,18.325,18.444,18.672,17.866,19.324,17.615,18.009,17.777,18.453,19.647,16.716,18.585,17.303,17.805,18.228,17.300,19.931,18.156,18.286,18.325,18.802,18.512,18.507,18.439,18.191,18.130,17.314,18.379,18.577,18.878,18.397,19.256,18.773,17.301,17.311,18.114,18.845,18.823,18.281,19.022,19.227,18.724,18.953,20.548,18.733,18.190,19.295,18.111,18.755,18.969,18.541,18.786,18.868,18.550,18.052,17.320,18.387,17.843,17.939
PE(20:0/0:0),13.779,14.240,13.371,13.413,13.736,14.033,12.952,11.474,12.713,12.503,11.323,12.413,12.659,13.429,12.294,12.129,13.145,12.780,11.617,13.742,12.695,13.358,12.911,13.742,13.066,12.876,12.946,12.310,14.200,13.437,14.703,12.571,13.462,13.706,12.680,12.921,12.012,11.655,13.887,13.116,13.317,10.944,13.612,12.941,13.275,12.888,12.389,12.854,13.147,12.026,12.072,11.438,11.565,12.986,17.783,12.927,12.930,14.122,12.393,13.805,13.001,11.743,11.883,15.506,12.998,13.273,12.589,13.171,13.534,13.587,13.296,12.798,11.934,15.546,13.945,12.600,12.605,14.674,11.196,10.949,10.829,11.433,12.318,11.461,11.398,11.640,11.936
PE(20:0/20:4),20.135,18.397,20.306,19.562,18.895,20.554,18.793,18.284,18.623,17.639,17.920,19.702,19.172,20.270,19.290,18.622,19.617,18.146,18.428,19.912,19.751,19.146,16.048,18.813,16.957,19.435,20.176,18.399,19.614,19.450,18.998,18.805,20.050,19.100,18.339,18.264,18.700,18.317,18.677,20.268,17.554,17.923,18.944,18.357,19.593,18.291,18.525,18.700,16.874,17.567,17.352,18.263,18.467,18.855,18.558,18.568,17.595,19.432,17.062,20.071,18.038,18.740,18.827,20.027,19.110,19.180,17.896,19.055,19.523,18.368,18.916,20.426,17.219,16.968,17.889,19.038,18.630,18.652,18.350,17.713,18.126,18.141,18.427,17.972,17.949,17.892,18.443
PE(20:1/0:0)_A,18.415,19.056,17.537,15.847,16.560,15.865,17.014,17.896,16.938,16.160,15.870,15.198,17.136,16.754,17.387,16.626,16.604,19.475,17.843,18.584,15.408,17.738,16.790,20.133,18.926,19.476,15.469,16.765,16.638,17.083,18.549,17.574,19.290,17.016,16.899,17.752,16.106,17.016,17.909,17.125,20.669,15.746,18.508,18.308,15.775,19.100,17.912,18.189,18.615,18.895,17.044,15.326,15.020,17.145,18.435,19.274,16.426,15.307,17.146,16.420,18.959,18.128,18.292,18.598,18.611,17.868,20.308,16.659,18.058,17.460,17.579,16.265,14.952,17.637,18.031,16.656,18.591,18.011,14.012,15.650,15.673,16.212,16.727,17.038,17.579,17.905,16.690
PE(20:1/0:0)_B,15.071,17.097,14.516,13.863,14.807,14.078,14.664,14.826,15.372,17.753,15.196,13.025,14.534,14.374,14.330,14.573,14.970,16.627,14.089,14.950,13.855,15.349,16.540,16.987,16.547,15.718,13.707,15.697,14.042,14.014,15.848,14.453,15.864,14.210,15.325,14.936,14.619,14.710,15.355,15.356,17.487,15.834,15.197,14.839,12.954,15.928,15.164,14.810,16.537,15.596,16.436,14.547,14.624,14.066,17.136,15.799,16.282,16.427,16.416,14.270,15.849,14.676,14.880,15.585,15.279,14.986,16.828,14.264,14.601,14.348,14.518,13.847,15.761,18.202,15.714,13.916,15.147,16.159,14.252,14.493,14.746,15.676,15.382,16.087,16.173,16.442,16.183
PE(20:2/0:0),17.690,17.229,16.949,15.673,16.344,16.952,15.569,15.645,14.491,14.525,13.983,16.162,18.291,17.339,16.927,16.898,16.339,18.449,17.071,17.266,17.896,17.575,16.947,18.396,16.808,17.959,15.623,14.163,16.710,16.085,16.452,16.919,18.636,16.558,15.840,17.463,14.568,15.786,17.288,18.498,18.699,13.539,17.978,17.497,15.443,18.871,15.783,18.717,16.680,15.635,14.536,13.743,12.781,17.052,17.868,19.018,14.537,13.614,15.349,16.222,17.852,16.909,17.266,17.613,16.744,15.761,18.420,15.305,16.938,16.530,16.558,16.623,13.512,15.044,17.620,16.150,17.262,15.220,12.829,13.560,13.516,14.717,14.105,15.302,15.146,15.050,14.466
PE(20:3/0:0)_A,20.599,19.638,19.658,18.455,19.952,20.750,19.706,18.511,17.367,14.886,14.699,20.170,20.605,19.297,19.432,18.976,19.068,19.557,18.629,21.041,19.816,19.746,15.880,19.507,17.821,19.230,20.653,16.414,20.115,18.697,20.269,19.682,20.265,20.263,19.330,20.464,16.826,19.353,20.376,20.630,19.780,13.548,19.767,20.826,20.254,20.112,18.545,20.347,18.861,20.381,16.707,16.648,14.661,20.676,20.799,20.681,16.109,15.669,17.664,19.920,19.370,18.117,18.023,19.512,19.385,20.281,20.200,18.739,20.480,20.529,19.540,20.872,14.854,14.990,19.966,19.913,20.369,18.261,15.585,15.882,17.043,16.879,18.286,16.186,16.590,16.786,17.315
PE(20:3/0:0)_B,18.933,16.768,17.236,16.584,17.428,17.524,16.274,17.241,16.109,15.213,14.149,17.757,19.123,18.123,18.163,16.924,17.808,18.028,16.872,17.764,18.849,18.114,16.940,17.583,16.744,17.859,17.361,14.346,17.827,16.823,18.129,17.747,18.686,18.142,16.733,18.986,15.297,17.980,18.015,20.036,18.421,13.928,16.944,19.083,17.431,18.752,16.423,18.488,16.207,18.465,15.277,14.094,14.850,18.650,18.969,18.719,15.563,14.897,15.680,17.075,17.080,18.206,18.449,17.817,16.530,17.421,17.803,16.656,17.983,17.427,17.398,17.862,14.854,15.715,16.045,18.256,17.775,15.155,14.401,13.677,15.008,15.932,16.362,16.904,16.122,15.733,16.640
PE(20:4/0:0),23.292,21.208,22.401,21.518,22.804,23.421,22.780,22.478,19.862,17.945,18.399,23.197,22.550,23.172,22.917,21.415,22.283,21.558,21.883,23.375,22.490,21.006,18.269,21.400,19.640,20.770,23.087,18.997,22.071,21.292,22.384,22.307,23.703,22.138,21.404,22.834,20.175,22.874,21.589,23.283,22.621,17.587,22.048,23.025,22.934,22.921,21.597,22.336,20.525,22.531,19.044,18.542,18.024,22.226,23.826,23.221,18.291,19.208,19.297,22.814,21.094,21.568,21.852,22.861,21.807,22.513,22.911,20.638,23.091,22.927,22.080,24.023,17.202,17.950,22.838,22.831,22.179,20.331,18.315,18.228,19.955,20.155,20.222,19.865,20.056,19.748,20.434
PE(20:4/22:0),19.629,17.271,20.108,18.720,18.698,20.129,18.337,16.847,16.186,14.606,14.967,19.108,17.822,20.104,18.678,17.493,18.549,16.867,16.577,18.947,19.069,17.884,14.453,17.222,15.310,17.372,20.451,16.705,19.400,19.190,17.749,18.617,18.791,18.757,17.546,17.442,18.000,17.364,18.140,19.179,15.707,13.340,18.265,18.066,19.272,17.362,16.231,18.302,15.071,15.832,14.492,16.158,14.474,17.965,17.781,17.812,15.578,18.530,15.340,19.452,17.138,17.050,16.984,19.168,18.406,17.855,16.183,18.783,18.416,17.542,17.830,19.394,14.679,14.985,16.928,18.931,17.851,16.939,15.817,15.421,12.957,13.948,13.678,13.520,14.074,13.443,13.549
PE(20:5/0:0),17.552,15.223,15.876,15.603,17.215,17.324,17.181,14.757,12.576,8.654,9.460,18.553,17.539,16.662,15.701,15.512,16.172,16.227,16.074,18.575,16.669,15.481,10.873,14.782,12.521,15.733,17.215,12.604,16.328,15.942,17.499,17.514,18.332,17.466,15.262,17.500,15.337,18.748,18.082,18.750,18.003,9.460,16.783,18.766,16.590,15.724,13.296,16.342,13.502,17.509,12.138,10.632,10.790,16.196,18.245,17.731,11.662,11.989,12.817,17.121,15.368,16.527,17.097,15.479,14.882,16.538,17.762,14.204,17.028,17.726,15.080,19.689,9.260,9.985,17.774,17.514,15.850,14.602,8.768,11.424,12.784,12.688,12.600,10.200,10.747,11.087,12.202
PE(22:1/0:0)_A,13.642,14.325,13.514,11.623,12.382,11.233,12.212,12.449,10.232,12.269,11.421,11.013,12.850,12.475,12.311,11.389,11.655,15.247,12.091,13.859,11.738,12.415,12.952,16.054,15.021,14.980,10.891,11.899,11.781,12.053,13.153,12.612,14.727,12.186,12.225,12.936,12.129,11.741,12.921,11.723,16.075,10.846,13.366,13.629,10.910,13.945,12.496,13.729,13.787,NA,12.052,10.695,NA,11.286,14.206,15.102,11.518,10.867,12.191,11.417,15.443,13.874,12.965,13.966,13.642,13.425,15.802,12.484,12.666,13.243,11.061,NA,10.229,12.304,13.214,11.183,14.337,13.075,8.899,10.315,11.054,11.124,11.389,11.598,12.802,13.588,11.685
PE(22:1/0:0)_B,12.499,13.993,11.820,12.559,12.725,12.211,11.842,11.014,11.582,13.778,11.231,10.472,11.161,12.017,11.835,10.571,12.193,13.498,10.625,11.919,11.173,12.264,13.624,13.377,13.451,12.795,12.223,11.747,12.714,12.655,13.438,11.990,12.561,12.414,12.749,12.557,11.300,11.481,12.173,12.680,14.995,11.439,12.453,11.728,10.994,12.276,11.860,12.282,12.866,10.695,12.111,11.065,10.705,11.304,16.482,12.755,11.937,13.003,12.585,12.229,12.288,11.699,12.408,13.660,12.388,11.965,12.612,12.870,12.255,11.280,11.775,11.445,11.654,14.433,12.489,11.747,12.511,13.212,10.113,10.129,10.443,11.491,11.285,11.839,11.737,12.327,11.958
PE(22:2/0:0)_A,15.008,15.742,14.892,12.922,13.467,12.578,14.123,14.430,12.892,12.566,12.517,13.152,13.741,14.039,14.386,13.754,12.625,16.303,14.272,15.162,14.197,14.332,15.171,17.030,15.574,15.949,12.103,14.165,13.167,13.315,15.029,14.184,16.328,12.920,13.717,14.468,12.893,12.627,14.517,13.176,17.649,12.044,15.309,14.385,13.514,16.404,14.658,16.529,15.697,12.570,13.402,13.111,11.097,12.543,14.247,17.485,12.881,11.356,13.753,13.147,16.549,14.749,15.112,15.603,15.266,14.088,17.275,13.660,14.974,14.785,13.912,13.866,11.966,13.400,16.104,13.435,15.702,14.856,11.070,12.867,12.450,12.535,11.848,12.677,13.716,13.902,12.300
PE(22:2/0:0)_B,11.146,14.208,11.347,11.100,11.076,11.007,10.839,10.762,11.356,13.767,10.807,10.200,11.634,10.963,10.985,11.169,10.209,13.349,9.851,11.070,12.258,12.070,14.816,13.297,12.932,11.708,10.803,12.092,10.753,10.627,11.419,10.811,12.342,10.830,11.602,10.822,11.015,NA,11.755,11.748,13.913,11.038,11.705,10.787,9.324,12.358,11.431,12.388,13.778,9.450,12.812,11.578,10.746,10.160,13.505,13.575,12.620,12.300,12.811,10.391,12.633,11.402,11.145,12.040,11.874,10.408,12.631,10.436,11.200,10.472,10.718,NA,12.684,14.350,11.136,10.336,11.651,12.348,10.994,11.085,10.903,11.417,10.861,11.654,11.674,12.403,11.797
PE(22:4/0:0)_A,22.347,20.870,21.769,19.794,20.450,21.314,21.316,22.133,19.613,17.532,17.978,21.690,21.092,22.722,22.231,20.538,20.117,21.003,20.775,22.143,21.760,20.414,18.406,20.779,19.549,19.801,20.988,18.826,20.599,20.171,20.850,21.542,22.507,19.527,19.829,21.266,18.770,20.804,20.698,19.727,22.523,17.229,21.063,20.290,20.209,21.910,20.303,22.237,19.927,19.908,18.687,17.607,17.315,19.669,22.610,22.346,18.269,17.026,19.051,20.940,20.596,20.868,21.069,21.362,21.194,19.535,21.656,19.120,21.878,21.630,21.501,22.812,17.147,18.415,21.200,21.458,20.583,19.967,17.192,18.162,18.880,19.481,20.295,19.181,19.704,19.426,20.208
PE(22:4/0:0)_B,18.600,19.157,18.281,16.017,17.500,18.359,17.407,19.357,16.355,18.203,16.242,17.818,18.381,19.385,18.832,18.133,16.734,17.846,17.071,19.633,18.632,17.909,17.276,17.916,16.596,16.154,17.249,16.151,16.816,16.203,18.059,17.742,20.099,15.612,16.720,18.358,15.519,16.689,16.846,16.049,18.815,16.179,18.483,16.471,16.662,19.203,16.781,18.867,18.631,17.189,17.430,15.765,15.666,17.101,18.404,19.566,17.519,16.593,17.980,18.389,17.478,17.234,17.508,18.007,17.457,15.225,18.752,15.153,18.604,18.010,18.182,19.752,17.218,19.043,18.376,17.775,17.339,16.851,16.235,16.016,16.566,17.485,18.130,17.296,17.812,17.787,18.748
PE(22:6/0:0),23.012,20.760,22.042,20.649,21.805,22.463,22.040,21.846,19.731,18.724,17.932,21.551,22.450,22.375,21.832,21.209,20.998,20.984,21.423,22.570,21.638,20.693,17.332,20.659,19.666,20.562,21.534,18.491,21.519,21.399,21.808,22.349,22.166,21.724,20.865,21.979,20.356,21.856,21.317,22.735,22.000,17.869,21.929,22.468,22.446,22.688,21.037,22.277,19.451,22.069,19.178,18.259,18.521,22.221,22.914,22.300,17.339,18.632,18.422,22.276,20.037,21.443,21.620,22.484,21.934,21.837,22.059,20.044,22.603,22.554,21.446,22.955,17.258,16.543,22.000,21.949,21.862,20.664,18.016,18.739,20.927,20.952,21.766,20.860,20.601,21.002,21.455
PE(22:6/22:6),12.402,15.967,15.363,9.071,13.488,10.910,11.719,13.954,16.973,17.437,16.576,12.541,16.621,NA,14.690,16.294,13.758,15.376,15.217,12.231,14.904,15.184,10.135,15.157,15.231,14.907,14.611,15.812,14.470,16.268,15.027,14.576,14.758,13.559,15.869,NA,16.515,12.910,11.885,15.121,13.342,17.083,14.835,14.541,14.039,NA,16.813,14.974,15.250,13.533,16.952,16.053,17.841,16.553,12.349,12.635,14.410,16.438,16.533,12.658,14.546,16.908,17.295,14.628,16.802,14.289,15.673,12.773,16.929,12.046,15.342,16.849,15.629,15.115,NA,NA,14.589,17.473,16.724,16.748,18.721,18.781,19.286,18.327,17.820,18.041,18.827
PE(24:0/18:1),17.068,17.267,17.407,17.773,17.045,17.465,17.940,15.452,15.789,15.458,15.781,17.284,17.088,17.405,16.942,16.140,16.654,17.135,15.333,18.192,17.450,15.969,15.279,16.140,16.170,16.190,16.927,16.241,18.304,17.398,16.903,18.235,18.654,18.112,15.610,16.429,16.987,16.307,18.127,16.860,17.441,15.237,17.088,17.347,17.319,16.520,15.954,17.533,16.569,15.246,15.256,16.233,15.059,16.928,17.471,17.569,16.261,17.076,15.539,18.046,17.639,16.533,16.229,17.034,16.778,16.015,15.473,18.064,17.574,18.000,17.227,17.762,15.375,16.649,16.521,16.755,16.572,16.788,15.796,15.334,14.726,15.349,14.660,15.095,15.309,14.646,14.497
PE(O-16:0/20:3),17.851,18.860,17.633,18.540,16.730,16.909,16.900,19.072,18.669,17.938,17.872,16.093,16.537,17.332,18.264,18.455,17.544,18.316,17.423,18.158,18.715,18.920,19.365,19.095,18.275,20.107,17.883,17.993,19.553,17.224,19.114,16.971,17.896,17.829,19.667,17.881,17.192,14.854,18.691,19.068,17.099,17.606,17.997,18.296,15.880,18.599,17.706,19.112,18.767,18.614,17.992,19.254,17.584,15.440,19.122,18.369,18.806,18.624,19.066,19.611,18.805,16.942,16.716,19.732,17.634,18.020,17.660,20.328,18.148,17.371,18.968,16.816,18.598,17.892,15.742,19.340,18.100,18.445,18.676,18.413,17.276,17.764,17.458,17.158,17.843,17.213,16.787
PE(O-16:0/20:4),21.530,21.659,20.819,22.265,21.380,21.651,21.651,23.088,22.147,20.703,20.306,20.766,20.719,22.013,21.832,21.302,22.820,20.710,20.588,21.868,22.044,21.345,22.157,22.002,20.915,22.636,22.084,21.153,22.966,21.362,22.489,21.161,21.717,21.514,22.338,21.310,21.622,20.752,21.612,23.296,20.929,20.081,21.363,22.262,20.874,22.212,21.985,22.166,20.956,22.369,20.172,21.518,21.068,20.086,23.114,21.805,21.012,21.999,20.873,23.253,20.744,20.872,21.036,23.451,21.057,22.044,21.226,22.586,22.122,21.913,22.720,20.714,20.672,21.191,21.183,23.605,21.349,21.738,20.876,20.491,20.479,20.641,20.323,20.867,21.173,20.832,20.498
PE(O-16:0/22:4),22.395,21.723,21.711,22.334,20.278,21.516,21.077,23.906,22.547,21.089,21.481,21.221,20.192,23.301,23.161,22.198,22.173,20.834,21.022,22.265,23.021,22.063,22.741,21.420,21.216,22.131,21.318,21.623,22.487,21.617,21.995,21.983,22.162,20.293,21.364,21.090,21.566,20.627,21.699,21.570,21.235,21.470,21.553,20.655,20.434,22.553,21.676,23.186,20.918,20.977,21.014,21.218,21.538,19.412,23.099,22.323,21.575,21.706,20.890,22.523,21.023,21.704,21.782,23.490,21.531,20.383,21.211,22.132,21.417,21.446,23.019,21.899,21.032,22.277,20.301,23.557,20.917,21.667,21.832,21.410,21.449,21.559,21.412,21.403,21.964,21.327,21.579
PE(O-16:0/22:6),21.739,21.445,21.519,21.943,20.988,20.873,21.282,22.494,22.579,21.771,21.145,21.067,21.260,21.914,21.727,22.184,22.163,20.871,21.521,21.434,21.846,21.969,22.374,21.691,21.434,23.396,21.170,21.928,22.422,21.967,22.837,21.519,21.063,21.578,22.380,20.971,22.256,20.179,21.265,22.908,20.546,21.532,21.559,21.606,21.495,21.730,21.866,22.180,21.177,22.165,21.278,21.306,22.027,20.889,22.570,21.260,21.110,21.792,21.259,22.844,20.464,21.822,21.786,23.855,21.664,21.790,21.370,22.055,22.037,21.160,22.109,20.421,21.283,21.360,19.692,22.741,21.354,22.301,21.734,21.768,22.290,22.022,22.146,21.646,22.110,21.993,22.083
PE(O-18:0/16:0)_A,17.914,17.090,17.084,17.960,18.395,17.272,17.436,18.265,16.635,15.272,15.426,17.573,16.693,18.024,17.609,16.492,17.663,16.219,16.902,18.389,17.781,16.855,17.089,16.716,17.168,17.222,17.857,16.584,18.547,17.036,18.878,17.125,18.876,17.927,18.088,18.351,17.231,17.969,17.416,17.644,17.516,15.069,17.373,18.554,18.144,18.283,16.763,17.931,16.408,17.829,15.198,16.297,15.299,15.985,20.234,18.974,16.742,17.586,15.890,18.671,17.178,16.224,16.546,20.186,17.024,17.368,16.779,17.638,17.055,19.134,17.790,18.018,15.772,16.734,18.133,18.511,17.551,17.120,15.377,15.644,15.542,15.386,14.990,15.317,15.601,15.191,15.143
PE(O-18:0/16:0)_B,17.995,17.591,18.264,19.114,18.121,17.418,18.871,20.255,17.713,15.995,16.886,18.079,18.029,19.501,19.950,17.697,19.072,16.435,17.605,19.429,18.543,17.692,16.865,16.348,16.984,16.771,18.128,17.324,20.146,18.582,18.964,18.755,19.298,18.508,18.581,18.747,17.962,17.870,18.477,17.943,17.228,16.128,18.198,18.120,18.232,18.408,17.698,19.152,15.418,18.616,15.805,17.600,16.851,16.606,20.471,19.318,16.515,18.286,15.202,19.677,17.080,18.055,18.374,19.772,18.860,17.924,17.251,19.059,17.974,18.396,19.384,19.336,15.506,16.384,17.796,19.784,18.503,17.431,17.754,16.683,18.147,17.633,17.696,17.402,16.951,16.610,17.776
PE(O-18:0/18:1),19.691,19.049,18.730,20.314,18.850,18.470,19.031,21.205,19.510,20.432,19.937,17.338,19.733,19.167,19.889,18.640,20.134,19.337,19.741,20.160,19.032,19.708,21.385,20.801,20.931,21.243,18.779,19.896,21.295,19.231,20.535,19.620,20.321,20.557,20.172,19.926,19.444,18.190,20.548,21.625,19.882,19.298,19.218,20.305,18.254,19.962,19.262,19.991,20.183,21.805,20.150,19.063,18.478,18.170,22.070,20.110,20.470,19.640,19.443,20.864,20.274,19.198,19.015,21.475,18.817,19.981,19.348,21.189,19.281,20.114,20.001,18.805,18.846,19.638,17.964,20.439,18.864,19.736,18.393,19.641,18.448,19.206,18.923,19.641,20.514,20.286,19.246
PE(O-18:0/22:4),21.641,21.380,21.391,21.532,19.748,21.109,21.169,23.263,22.575,20.394,21.005,20.275,21.191,22.880,22.498,21.912,21.453,20.297,21.234,21.861,22.156,21.514,20.801,20.491,20.383,20.779,21.030,20.719,22.490,21.386,21.341,21.993,21.918,20.726,20.753,20.884,20.916,19.350,21.826,21.004,20.600,21.257,21.312,20.850,20.237,21.327,21.403,22.748,20.043,20.951,20.677,20.987,21.699,19.570,22.668,21.536,19.993,21.501,19.999,22.188,19.844,21.819,22.056,23.202,21.995,20.268,20.236,22.346,21.837,21.093,22.905,21.823,20.506,21.087,19.780,22.613,20.280,21.334,22.061,21.250,22.091,22.135,22.173,21.831,21.840,21.298,22.385
PE(P-16:0/0:0),17.484,18.605,16.799,17.384,18.035,17.734,16.695,17.931,18.218,18.154,17.312,18.077,16.634,18.151,17.717,17.524,17.587,17.665,17.357,17.411,17.564,18.291,18.321,18.219,18.597,18.025,17.985,18.729,17.279,17.487,17.037,17.389,17.765,17.032,16.469,17.184,17.601,17.324,17.018,17.394,17.896,17.824,17.349,16.875,17.503,16.252,16.909,17.577,18.749,17.490,18.404,16.973,18.010,17.705,19.882,16.688,19.331,19.631,18.916,16.417,18.170,16.891,17.461,17.416,16.986,17.572,16.963,16.560,17.090,17.650,17.373,16.892,18.893,21.446,17.081,17.055,18.070,18.206,17.703,17.965,16.998,17.559,17.104,17.061,18.577,16.791,17.434
PE(P-16:0/16:0),19.474,18.462,19.482,19.316,19.624,19.437,18.315,19.700,18.607,18.410,18.917,19.917,17.645,20.191,20.632,18.014,18.981,18.398,19.322,20.305,19.257,19.272,20.435,18.707,19.311,18.447,18.713,20.220,19.072,19.563,18.308,19.346,20.024,18.828,18.490,19.457,19.693,19.001,19.139,17.807,18.293,18.584,18.367,17.859,19.036,17.358,17.872,19.068,18.290,17.666,18.662,19.087,18.831,18.811,18.940,18.975,19.390,19.502,19.049,17.868,19.641,19.585,18.964,17.727,19.549,19.063,19.308,17.783,18.143,19.886,17.993,20.031,19.025,19.242,20.821,18.326,19.493,18.526,19.082,19.039,19.079,18.640,18.753,18.559,19.003,18.386,18.649
PE(P-16:0/16:1),19.133,19.712,18.467,18.504,19.064,18.848,16.475,17.617,19.425,20.010,20.208,18.558,17.084,18.099,18.039,19.016,18.411,19.950,19.638,19.271,18.377,20.147,21.297,19.734,19.483,19.276,18.476,19.699,17.978,19.051,17.896,18.696,18.350,18.112,18.366,18.574,19.261,18.819,18.319,19.402,18.392,20.617,17.298,18.463,19.014,17.497,18.171,18.311,19.951,17.870,20.070,18.819,20.046,19.082,17.490,17.327,20.159,19.136,20.683,16.518,19.672,18.934,18.599,16.715,18.449,18.540,18.973,17.569,18.088,18.624,19.107,17.383,19.973,20.240,18.302,17.554,18.907,19.062,19.710,19.934,19.430,20.452,19.601,19.878,20.340,19.859,19.282
PE(P-16:0/18:1),23.814,24.122,23.408,23.531,24.093,24.203,22.838,23.518,23.867,24.261,24.521,23.588,23.503,24.040,23.280,23.579,23.609,24.419,24.138,23.317,23.408,23.944,25.131,24.581,24.406,24.262,23.892,24.470,23.271,23.702,23.917,24.088,24.370,23.785,23.128,24.364,24.227,23.760,23.496,24.427,23.830,24.828,23.278,23.643,24.168,22.867,23.539,23.287,24.495,24.226,23.957,24.007,24.291,23.912,23.862,23.383,24.752,24.384,24.858,22.701,24.188,23.849,23.809,23.375,23.740,24.507,24.205,23.110,23.249,23.845,23.408,24.057,24.337,25.137,23.988,22.450,23.814,23.871,24.145,24.121,24.105,24.468,24.156,23.983,24.356,24.057,23.953
PE(P-16:0/18:2),21.048,20.947,20.330,20.863,22.421,21.235,20.917,20.251,20.368,20.465,20.818,20.292,20.239,20.144,19.950,20.208,19.784,20.581,21.277,21.261,20.280,20.633,22.398,20.837,20.444,20.141,21.796,21.153,20.098,20.619,20.587,20.667,21.280,20.905,19.726,20.958,21.591,21.783,20.943,20.758,20.774,20.548,20.089,20.477,22.956,19.438,20.356,19.829,21.079,22.011,20.542,20.279,20.115,20.949,20.463,21.351,21.371,20.676,21.054,19.685,21.770,19.958,19.930,20.572,20.663,22.085,20.417,20.071,20.519,22.424,20.258,19.977,20.836,21.111,21.912,18.775,21.256,21.001,20.890,21.544,20.834,20.504,20.207,20.423,20.625,20.273,20.198
PE(P-16:0/20:3)_A,21.727,21.918,21.116,20.574,21.655,22.225,20.392,20.565,21.532,21.183,21.447,22.096,20.861,21.262,20.472,21.025,20.859,21.705,22.071,21.139,21.095,22.193,22.150,21.860,21.533,21.709,22.611,21.645,21.429,21.008,20.953,21.037,21.436,21.858,20.443,21.805,21.605,20.542,21.751,21.445,20.359,21.092,21.143,21.733,22.014,20.018,20.581,21.202,22.197,21.303,21.561,21.769,21.387,21.398,20.142,20.705,22.265,22.095,22.705,20.410,22.170,20.529,20.659,20.445,21.324,22.625,21.268,20.850,21.285,21.316,21.120,21.527,21.844,21.864,21.131,19.784,21.704,21.128,22.705,22.038,20.998,21.108,21.484,20.665,20.856,20.614,20.483
PE(P-16:0/20:3)_B,19.281,17.933,17.209,18.890,17.973,19.479,17.620,18.719,18.607,18.089,19.106,18.999,18.629,18.968,19.091,18.097,19.192,18.940,18.139,18.151,19.796,19.761,21.528,19.028,19.482,19.670,18.783,17.571,18.867,18.443,16.872,18.390,19.239,18.608,16.565,20.260,18.411,17.724,19.035,20.308,17.935,18.300,17.218,19.208,17.626,17.731,17.196,18.617,18.167,16.583,17.306,17.894,18.838,19.099,17.700,18.360,17.994,19.711,19.304,16.910,18.493,19.928,20.084,17.594,17.233,18.859,17.897,17.219,18.111,17.942,17.947,18.156,18.224,18.075,15.885,18.766,18.921,16.706,18.509,17.426,17.401,18.016,17.410,18.077,17.697,17.422,17.388
PE(P-16:0/20:4),24.835,23.934,24.081,24.254,24.836,25.019,24.115,24.885,23.826,22.969,23.939,25.505,24.172,25.369,24.562,23.670,24.432,24.050,24.197,24.590,24.808,24.121,23.508,24.086,23.554,23.127,25.231,24.301,24.196,24.352,23.581,24.320,25.248,24.197,23.209,24.691,24.659,24.686,23.860,24.456,23.583,22.892,24.036,24.032,24.966,23.253,23.665,23.978,23.741,24.455,23.135,23.145,23.591,24.256,24.172,23.822,24.348,24.605,23.893,23.836,23.857,24.025,24.447,23.881,24.181,24.770,24.497,23.302,24.144,24.537,24.335,25.405,23.551,23.621,24.400,23.939,24.306,23.564,23.973,23.821,22.743,22.752,23.183,22.756,22.767,22.536,22.738
