Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01370,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
PA(16:0/20:4),14.309,16.209,15.178,14.516,14.127,15.580,14.772,13.558,15.587,15.810,16.790,15.481,12.514,16.241,14.474,15.724,14.774,15.710,15.364,13.079,15.263,15.136,15.909,15.631,15.363,14.720,14.050,15.937,14.257,15.046,13.597,14.452,13.155,12.047,14.035,13.195,15.214,13.065,12.661,13.540,13.681,16.706,14.357,12.780,14.463,14.314,14.906,14.992,16.279,14.111,15.870,14.990,16.535,14.149,12.317,13.924,16.228,14.874,16.535,13.778,15.091,14.489,15.498,12.966,14.919,13.617,15.014,13.516,14.064,14.066,14.717,14.090,16.500,15.953,13.826,14.982,14.329,14.191,16.564,16.525,13.574,13.945,14.734,14.734,14.335,14.805,14.181
PA(18:1/18:1),12.479,14.753,13.138,12.800,13.265,14.303,14.210,12.119,15.315,16.576,17.775,12.971,12.812,14.176,12.726,13.293,13.618,15.013,14.258,11.937,12.817,13.572,15.984,15.895,16.045,14.377,12.749,15.463,13.118,13.952,12.558,13.697,12.137,11.791,13.671,13.536,14.705,13.553,13.341,12.903,13.345,18.133,13.047,12.363,13.215,13.433,14.744,12.890,16.112,14.723,15.540,14.774,16.166,12.731,14.595,13.089,15.435,13.523,17.272,12.354,14.921,14.305,15.012,11.816,13.487,14.153,14.776,13.137,12.496,14.017,13.443,NA,15.767,16.506,13.846,12.579,13.634,13.892,15.287,15.809,14.836,15.801,15.256,15.722,15.822,15.655,14.992
PA(18:1/20:4),13.122,14.083,13.586,14.155,12.577,13.572,13.660,12.019,14.212,14.860,15.864,13.823,12.051,14.722,13.114,14.029,13.492,14.082,13.849,12.811,14.160,12.923,15.083,14.442,14.490,13.536,13.011,14.835,13.377,13.635,11.918,13.407,12.573,11.124,13.057,12.180,14.166,12.366,11.999,12.719,12.564,16.132,13.197,11.881,13.111,12.738,13.728,13.744,14.704,13.363,14.448,13.527,15.037,12.619,14.953,12.690,14.462,12.667,15.453,12.388,13.727,13.542,13.952,11.315,13.326,13.173,13.926,12.589,12.608,12.976,12.801,12.927,14.938,15.008,12.994,12.924,13.337,13.094,14.610,14.637,12.666,13.316,13.406,13.514,13.698,13.922,12.947
PE(14:0/22:6),15.431,15.210,15.655,15.549,14.997,15.601,14.712,15.452,14.868,15.696,16.017,18.052,16.839,15.076,15.902,16.960,15.012,14.422,15.858,16.812,17.477,16.007,15.625,14.674,14.460,16.298,15.425,15.734,15.714,15.954,15.510,15.302,15.273,15.017,16.211,14.045,16.200,15.798,15.098,16.291,13.214,16.569,15.910,14.341,14.901,15.155,15.679,15.569,14.505,15.367,16.539,15.955,16.250,16.279,14.271,14.108,14.910,15.339,15.265,14.459,14.524,16.130,16.157,14.115,16.019,14.411,15.635,14.597,16.084,13.392,14.788,15.896,15.444,13.208,14.646,15.942,15.726,15.808,16.073,16.280,16.990,17.456,17.570,17.313,16.822,17.085,16.977
PE(16:0/0:0)_A,19.606,18.899,19.349,16.940,17.896,16.698,17.527,17.942,16.749,15.564,15.224,18.707,19.021,19.290,19.533,17.780,18.137,18.942,18.270,20.350,18.663,18.152,17.122,19.251,18.142,18.710,18.021,16.987,18.699,18.195,19.130,19.060,20.341,18.122,18.636,19.248,17.355,18.995,18.619,18.552,20.312,15.279,18.673,19.042,18.284,19.799,17.681,19.588,18.004,17.914,16.872,15.944,14.774,18.487,20.254,20.235,15.934,15.655,16.675,18.587,19.130,18.805,18.405,18.834,18.944,18.650,20.145,16.939,19.380,19.505,18.083,20.040,15.119,16.994,19.982,18.223,18.957,18.268,14.792,16.126,17.222,16.979,17.581,17.120,17.755,17.707,17.507
PE(16:0/0:0)_B,17.333,17.484,17.172,17.002,17.926,17.806,16.569,17.174,17.176,16.587,16.251,18.050,17.372,16.612,17.317,17.583,16.435,16.364,16.268,17.734,17.875,17.294,17.228,16.600,16.985,16.852,17.346,16.875,16.673,16.850,17.957,16.278,17.688,15.805,17.035,16.385,16.090,16.873,16.344,16.562,16.600,16.623,16.887,16.347,16.116,17.331,16.883,16.903,16.740,16.854,16.688,16.789,16.909,17.266,18.539,17.538,16.497,17.611,16.491,17.364,16.418,16.485,16.827,17.357,16.987,16.031,16.966,16.523,17.708,16.371,16.861,17.643,16.778,18.939,16.967,17.150,16.193,17.757,16.894,16.445,17.567,18.009,18.808,18.055,18.167,17.406,18.760
PE(16:0/16:0),19.292,17.760,18.291,19.502,18.720,19.034,19.005,18.417,17.036,16.240,17.508,20.226,18.233,19.291,19.314,17.394,18.998,17.482,18.066,19.783,19.340,17.774,18.015,17.032,17.560,17.209,18.992,17.850,18.907,17.971,19.286,18.187,20.176,18.781,18.889,18.292,18.250,19.554,18.388,17.429,18.323,16.807,18.708,18.197,18.668,19.213,17.577,18.390,17.215,18.594,16.606,17.980,16.704,17.816,19.981,19.275,18.528,17.977,16.842,18.977,17.897,18.141,17.689,18.738,17.897,18.041,18.085,18.916,17.967,19.171,18.273,19.659,16.652,17.121,20.166,18.638,18.405,17.506,16.985,17.034,17.349,17.294,17.011,17.470,17.415,17.086,17.270
PE(16:0/16:1);PE(14:0/18:1),21.881,19.210,21.346,21.002,21.785,20.976,19.604,20.738,19.127,18.697,18.958,22.748,21.439,20.292,20.986,20.938,19.548,20.268,20.666,23.016,22.237,20.450,19.910,17.596,18.442,19.873,20.667,18.535,21.012,21.127,21.225,20.838,22.249,20.763,21.781,21.149,20.314,21.666,19.568,21.356,19.905,18.756,20.708,21.121,20.555,21.237,19.546,20.904,18.821,19.374,19.041,20.306,19.385,21.051,21.355,20.282,18.320,21.754,19.605,21.326,18.920,21.204,19.534,20.299,20.834,20.414,20.518,19.761,21.884,20.288,20.204,21.465,18.205,16.545,21.008,21.344,20.322,20.164,19.409,19.178,21.077,20.446,19.739,19.409,19.281,19.399,19.491
PE(16:0/18:0),19.499,18.607,19.588,19.821,19.309,19.575,19.986,20.224,19.534,18.564,19.474,19.940,20.235,19.874,20.150,18.537,19.420,18.556,19.367,19.958,19.543,18.662,17.897,18.367,18.426,17.578,19.876,18.800,20.108,19.405,19.611,19.832,20.783,19.587,19.484,19.342,19.604,20.118,19.178,18.662,19.002,19.123,19.377,19.263,19.764,19.318,19.713,19.606,17.782,19.416,18.866,19.534,19.455,18.864,20.180,19.991,18.708,19.685,17.572,19.564,18.419,19.803,20.179,20.027,19.978,19.342,19.188,19.388,19.817,19.772,19.551,21.368,17.956,18.668,20.917,18.686,19.499,19.382,19.311,18.883,20.460,20.001,20.248,20.059,19.918,19.528,20.428
PE(16:0/18:1),23.685,22.903,23.538,23.375,23.260,23.495,23.166,23.288,22.912,22.830,23.207,24.201,24.000,23.422,23.452,23.435,23.169,22.808,23.239,23.700,23.906,23.104,23.499,22.475,22.526,23.366,23.198,22.776,23.180,23.231,23.904,23.271,24.429,22.956,23.418,23.495,23.201,23.612,22.799,23.621,22.429,23.135,23.151,22.701,23.289,23.340,23.397,23.170,22.729,23.719,22.754,23.578,23.202,23.562,23.386,22.819,22.666,23.694,22.937,23.581,22.980,23.521,23.171,22.921,23.258,23.376,23.455,23.065,23.520,22.903,22.924,24.289,22.310,21.986,23.877,22.728,22.944,23.330,23.303,23.218,23.585,23.446,23.215,23.269,23.230,22.815,23.300
